slug,words,quick_facts,faq_items,decision,reason,junk,split_into,preexisting_noindex,has_auto_noindex
writers,10230,0,0,keep,category hub,False,,False,False
pastors,6405,0,0,keep,category hub,False,,False,False
journalists,4368,0,0,keep,category hub,False,,False,False
theologians-scholars,3885,0,0,keep,category hub,False,,False,False
ministry-leaders,1303,0,0,keep,category hub,False,,False,False
john-piper,590,7,7,keep,590w + quick facts + faq,False,,False,False
bible-teachers,572,0,0,keep,category hub,False,,False,False
john-mark-comer,556,7,7,keep,556w + quick facts + faq,False,,False,False
doug-wilson,535,7,7,keep,535w + quick facts + faq,False,,False,False
preston-sprinkle,511,7,7,keep,511w + quick facts + faq,False,,False,False
wayne-grudem,508,7,7,keep,508w + quick facts + faq,False,,False,False
r-albert-mohler,499,7,7,keep,499w + quick facts + faq,False,,False,False
kevin-deyoung,482,7,6,keep,482w + quick facts + faq,False,,False,False
john-lennox,481,6,6,keep,481w + quick facts + faq,False,,False,False
carl-trueman,471,7,6,keep,471w + quick facts + faq,False,,False,False
os-guinness,471,6,6,keep,471w + quick facts + faq,False,,False,False
michael-gorman,459,7,6,keep,459w + quick facts + faq,False,,False,False
sinclair-ferguson,455,7,6,keep,455w + quick facts + faq,False,,False,False
thomas-jay-oord,451,7,6,keep,451w + quick facts + faq,False,,False,False
paul-david-tripp,448,7,6,keep,448w + quick facts + faq,False,,False,False
clark-pinnock,444,6,6,keep,444w + quick facts + faq,False,,False,False
o-palmer-robertson,442,7,6,keep,442w + quick facts + faq,False,,False,False
andy-crouch,441,7,6,keep,441w + quick facts + faq,False,,False,False
brian-mclaren,441,7,6,keep,441w + quick facts + faq,False,,False,False
kay-warren,438,7,6,keep,438w + quick facts + faq,False,,False,False
melissa-kruger,437,7,6,keep,437w + quick facts + faq,False,,False,False
michael-horton,437,7,6,keep,437w + quick facts + faq,False,,False,False
roger-olson,431,7,6,keep,431w + quick facts + faq,False,,False,False
joel-green,430,7,5,keep,430w + quick facts + faq,False,,False,False
jonathan-leeman,430,7,6,keep,430w + quick facts + faq,False,,False,False
alister-mcgrath,414,7,6,keep,414w + quick facts + faq,False,,False,False
andrew-wilson,413,7,6,keep,413w + quick facts + faq,False,,False,False
r-c-sproul,395,6,6,skip,hand-placed robots tag already on page,False,,True,False
ruth-haley-barton,387,7,6,keep,387w + quick facts + faq,False,,False,False
timothy-paul-jones,387,7,6,keep,387w + quick facts + faq,False,,False,False
apologists,355,0,0,keep,category hub,False,,False,False
sean-mcdowell,355,6,6,keep,355w + quick facts + faq,False,,False,False
j-a-medders,350,7,5,keep,350w + quick facts + faq,False,,False,False
david-e-sanger,339,5,5,noindex,override: force noindex,False,,False,False
reem-nadeem,326,5,5,noindex,override: force noindex,False,,False,False
mathew-santhosh-thomas,312,6,5,keep,312w + quick facts + faq,False,,False,False
alex-harris,299,6,6,keep,299w + quick facts + faq,False,,False,False
david-garner,299,7,5,keep,299w + quick facts + faq,False,,False,False
chris-brauns,297,6,5,keep,297w + quick facts + faq,False,,False,False
katy-carl,293,7,5,keep,293w + quick facts + faq,False,,False,False
justin-n-poythress,288,7,5,keep,288w + quick facts + faq,False,,False,False
speakers-creators,272,0,0,keep,category hub,False,,False,False
motoko-rich,269,5,5,noindex,override: force noindex,False,,False,False
mere-orthodoxy,266,6,5,keep,266w + quick facts + faq,False,,False,False
tim-challies,266,0,0,noindex,no quick facts; no faq,False,,False,False
blake-long,263,7,5,keep,263w + quick facts + faq,False,,False,False
tim-keller,262,0,0,noindex,no quick facts; no faq,False,,False,False
randy-alcorn,261,0,0,noindex,no quick facts; no faq,False,,False,False
ben-hubbard,245,5,5,noindex,override: force noindex,False,,False,False
john-starke,244,6,5,keep,244w + quick facts + faq,False,,False,False
paul-tripp,244,0,0,noindex,no quick facts; no faq,False,,False,False
roque-planas-and-agencies,240,5,5,noindex,junk byline slug,True,,False,False
marshall-segal,237,0,0,noindex,no quick facts; no faq,False,,False,False
david-m-halbfinger,236,5,5,noindex,override: force noindex,False,,False,False
amelia-nierenberg-and-matthew-mpoke-bigg,235,5,5,noindex,junk byline slug,True,,False,False
elisabetta-povoledo,232,5,5,noindex,override: force noindex,False,,False,False
rc-sproul,231,0,0,noindex,no quick facts; no faq,False,,False,False
jen-wilkin,227,0,0,noindex,no quick facts; no faq,False,,False,False
jay-adams,223,0,0,noindex,no quick facts; no faq,False,,False,False
john-macarthur,221,0,0,noindex,no quick facts; no faq,False,,False,False
collin-hansen,219,0,0,noindex,no quick facts; no faq,False,,False,False
d-a-carson,219,0,0,noindex,no quick facts; no faq,False,,False,False
brett-mccracken,217,0,0,noindex,no quick facts; no faq,False,,False,False
n-t-wright,217,0,0,noindex,no quick facts; no faq,False,,False,False
william-lane-craig,217,0,0,noindex,no quick facts; no faq,False,,False,False
trevin-wax,215,0,0,noindex,no quick facts; no faq,False,,False,False
louis-markos,214,0,0,noindex,no quick facts; no faq,False,,False,False
robert-webber,214,0,0,noindex,no quick facts; no faq,False,,False,False
alan-hirsch,212,0,0,noindex,no quick facts; no faq,False,,False,False
soong-chan-rah,212,0,0,noindex,no quick facts; no faq,False,,False,False
cornelius-plantinga,211,0,0,noindex,no quick facts; no faq,False,,False,False
aaron-boxerman,209,5,5,noindex,override: force noindex,False,,False,False
don-carson,209,0,0,noindex,no quick facts; no faq,False,,False,False
greg-boyd,209,0,0,noindex,no quick facts; no faq,False,,False,False
catie-edmondson,208,5,5,noindex,override: force noindex,False,,False,False
robert-letham,207,0,0,noindex,no quick facts; no faq,False,,False,False
ed-welch,205,0,0,noindex,no quick facts; no faq,False,,False,False
david-powlison,204,0,0,noindex,no quick facts; no faq,False,,False,False
james-k-a-smith,204,0,0,noindex,no quick facts; no faq,False,,False,False
joni-eareckson-tada,204,0,0,noindex,no quick facts; no faq,False,,False,False
thomas-schreiner,204,0,0,noindex,no quick facts; no faq,False,,False,False
diane-langberg,203,0,0,noindex,no quick facts; no faq,False,,False,False
david-platt,202,0,0,noindex,no quick facts; no faq,False,,False,False
alvin-plantinga,201,0,0,noindex,no quick facts; no faq,False,,False,False
darryl-dash,201,0,0,noindex,no quick facts; no faq,False,,False,False
richard-foster,201,0,0,noindex,no quick facts; no faq,False,,False,False
eugene-peterson,200,0,0,noindex,no quick facts; no faq,False,,False,False
relevant-staff,200,0,0,noindex,no quick facts; no faq,False,,False,False
rosaria-butterfield,200,0,0,noindex,no quick facts; no faq,False,,False,False
